DATE,TEAM1,TEAM1_SCORE,TEAM2,TEAM2_SCORE,TEAM1_RESULT
2017-07-16,NL,1,NO,0,win
2017-07-16,DK,1,BE,0,win
2017-07-17,IT,1,RU,2,loss
2017-07-17,DE,0,SE,0,draw
2017-07-18,AT,1,CH,0,win
2017-07-18,FR,1,IS,0,win
2017-07-19,ES,2,PT,0,win
2017-07-19,EN,6,SCT,0,win
2017-07-20,NO,0,BE,2,loss
2017-07-20,NL,1,DK,0,win
2017-07-21,SE,2,RU,0,win
2017-07-21,DE,2,IT,1,win
2017-07-22,IS,1,CH,2,loss
2017-07-22,FR,1,AT,1,draw
2017-07-23,SCT,1,PT,2,loss
2017-07-23,EN,2,ES,0,win
2017-07-24,BE,1,NL,2,loss
2017-07-24,NO,0,DK,1,loss
2017-07-25,RU,0,DE,2,loss
2017-07-25,SE,2,IT,3,loss
2017-07-26,CH,1,FR,1,draw
2017-07-26,IS,0,AT,3,loss
2017-07-27,PT,1,EN,2,loss
2017-07-27,SCT,1,ES,0,win
2017-07-29,NL,2,SE,0,win
2017-07-30,DE,1,DK,2,loss
2017-07-30,AT,0,ES,0,draw
2017-07-30,EN,1,FR,0,win
2017-08-03,DK,0,AT,0,draw
2017-08-03,NL,3,EN,0,win
2017-08-06,NL,4,DK,2,win
